  [0x512ce0] __TEXT,__cstring: stopDevice
  [0x532914] __TEXT,__cstring: void AppleJPEGDriver::checkDARTException()
  [0x53293f] __TEXT,__cstring: uint32_t AppleJPEGDriver::assign_codec_gated(JpegRequest *)
  [0x53297b] __TEXT,__cstring: The range of valid memory is too large to be represented by this type, or [begin, end) is not a well-formed range
  [0x5329ed] __TEXT,__cstring: "%s" @%s:%d
  [0x5329f9] __TEXT,__cstring: OSBoundedPtr.h
  [0x532a08] __TEXT,__cstring: bounded_ptr<T>::operator+=(n): Adding the specified number of bytes to the offset representing the current position would overflow.
  [0x532a8c] __TEXT,__cstring: bounded_ptr<T>::operator*: Dereferencing this pointer would access memory outside of the bounds set originally
  [0x532afb] __TEXT,__cstring: This bounded_ptr is pointing to memory outside of what can be represented by a native pointer.
  [0x532b5a] __TEXT,__cstring: IOReturn AppleJPEGCoreAnalyzer::checkFrameBufferFormat(uint32_t, uint32_t)
  [0x532ba5] __TEXT,__cstring: IOReturn AppleJPEGCoreAnalyzer::start(IOService *, IOServiceMatchingNotificationHandler)
  [0x532bfe] __TEXT,__cstring: void AppleJPEGCoreAnalyzer::collectCoreDataFromRequest(JpegRequest *)
  [0x532c44] __TEXT,__cstring: void AppleJPEGCoreAnalyzer::submitAnalyticData()
  [0x532c75] __TEXT,__cstring: com.apple.jpegdriverevents.picSize
  [0x532c98] __TEXT,__cstring: size_encode_256k_count
  [0x532caf] __TEXT,__cstring: size_encode_1m_count
  [0x532cc4] __TEXT,__cstring: size_encode_4m_count
  [0x532cd9] __TEXT,__cstring: size_encode_12m_count
  [0x532cef] __TEXT,__cstring: size_encode_exlarge_count
  [0x532d09] __TEXT,__cstring: size_decode_256k_count
  [0x532d20] __TEXT,__cstring: size_decode_1m_count
  [0x532d35] __TEXT,__cstring: size_decode_4m_count
  [0x532d4a] __TEXT,__cstring: size_decode_12m_count
  [0x532d60] __TEXT,__cstring: size_decode_exlarge_count
  [0x532d7a] __TEXT,__cstring: com.apple.jpegdriverevents.jpegFormat
  [0x532da0] __TEXT,__cstring: format_400_encode_count
  [0x532db8] __TEXT,__cstring: format_420_encode_count
  [0x532dd0] __TEXT,__cstring: format_422_encode_count
  [0x532de8] __TEXT,__cstring: format_444_encode_count
  [0x532e00] __TEXT,__cstring: format_411_encode_count
  [0x532e18] __TEXT,__cstring: format_400_decode_count
  [0x532e30] __TEXT,__cstring: format_420_decode_count
  [0x532e48] __TEXT,__cstring: format_422_decode_count
  [0x532e60] __TEXT,__cstring: format_444_decode_count
  [0x532e78] __TEXT,__cstring: format_411_decode_count
  [0x532e90] __TEXT,__cstring: com.apple.jpegdriverevents.frameBufferFormat
  [0x532ebd] __TEXT,__cstring: format_argb_linear_count
  [0x532ed6] __TEXT,__cstring: format_argb_tiled_count
  [0x532eee] __TEXT,__cstring: format_argb_10bit_linear_count  [0x532f0d] __TEXT,__cstring: format_argb_10bit_tiled_count
  [0x532f2b] __TEXT,__cstring: format_argb_12bit_linear_count
  [0x532f4a] __TEXT,__cstring: format_argb_12bit_tiled_count
  [0x532f68] __TEXT,__cstring: format_400_8bit_linear_count
  [0x532f85] __TEXT,__cstring: format_420_8bit_linear_count
  [0x532fa2] __TEXT,__cstring: format_422_8bit_linear_count
  [0x532fbf] __TEXT,__cstring: format_444_8bit_linear_count
  [0x532fdc] __TEXT,__cstring: format_400_8bit_tiled_count
  [0x532ff8] __TEXT,__cstring: format_420_8bit_tiled_count
  [0x533014] __TEXT,__cstring: format_422_8bit_tiled_count
  [0x533030] __TEXT,__cstring: format_444_8bit_tiled_count
  [0x53304c] __TEXT,__cstring: format_400_10bit_linear_count
  [0x53306a] __TEXT,__cstring: format_420_10bit_linear_count
  [0x533088] __TEXT,__cstring: format_422_10bit_linear_count
  [0x5330a6] __TEXT,__cstring: format_444_10bit_linear_count
  [0x5330c4] __TEXT,__cstring: format_400_10bit_tiled_count
  [0x5330e1] __TEXT,__cstring: format_420_10bit_tiled_count
  [0x5330fe] __TEXT,__cstring: format_422_10bit_tiled_count
  [0x53311b] __TEXT,__cstring: format_444_10bit_tiled_count
  [0x533138] __TEXT,__cstring: format_400_10bit_packed_count
  [0x533156] __TEXT,__cstring: format_420_10bit_packed_count
  [0x533174] __TEXT,__cstring: format_422_10bit_packed_count
  [0x533192] __TEXT,__cstring: format_444_10bit_packed_count
  [0x5331b0] __TEXT,__cstring: format_400_12bit_linear_count
  [0x5331ce] __TEXT,__cstring: format_420_12bit_linear_count
  [0x5331ec] __TEXT,__cstring: format_422_12bit_linear_count
  [0x53320a] __TEXT,__cstring: format_444_12bit_linear_count
  [0x533228] __TEXT,__cstring: format_undefined_count
  [0x53323f] __TEXT,__cstring: com.apple.jpegdriverevents.frameBufferFormatEncode
  [0x533272] __TEXT,__cstring: com.apple.jpegdriverevents.coreRequests
  [0x53329a] __TEXT,__cstring: core_0_requests_count
  [0x5332b0] __TEXT,__cstring: core_1_requests_count
  [0x5332c6] __TEXT,__cstring: com.apple.jpegdriverevents.codecRequests
  [0x5332ef] __TEXT,__cstring: encode_requests_count
  [0x533305] __TEXT,__cstring: decode_requests_count
  [0x53331b] __TEXT,__cstring: CoreAnalyticsHub
  [0x53332c] __TEXT,__cstring: TulipaFunctions
  [0x53333c] __TEXT,__cstring: site.TulipaFunctions
  [0x533351] __TEXT,__cstring: 121111111
  [0x53335b] __TEXT,__cstring: virtual bool TulipaFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x5333a4] __TEXT,__cstring: DaisyFunctions
  [0x5333b3] __TEXT,__cstring: site.DaisyFunctions
  [0x5333c7] __TEXT,__cstring: virtual bool DaisyFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x53340f] __TEXT,__cstring: ClaryFunctions
  [0x53341e] __TEXT,__cstring: site.ClaryFunctions
  [0x533432] __TEXT,__cstring: virtual bool ClaryFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x53347a] __TEXT,__cstring: ThymeFunctions
  [0x533489] __TEXT,__cstring: site.ThymeFunctions
  [0x53349d] __TEXT,__cstring: virtual bool ThymeFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x5334e5] __TEXT,__cstring: IxoraFunctions
  [0x5334f4] __TEXT,__cstring: site.IxoraFunctions
  [0x533508] __TEXT,__cstring: virtual bool IxoraFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x533550] __TEXT,__cstring: BorageFunctions
  [0x533560] __TEXT,__cstring: site.BorageFunctions
  [0x533575] __TEXT,__cstring: virtual bool BorageFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x5335be] __TEXT,__cstring: DandelionFunctions
  [0x5335d1] __TEXT,__cstring: site.DandelionFunctions
  [0x5335e9] __TEXT,__cstring: virtual bool DandelionFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x533635] __TEXT,__cstring: NerineFunctions
  [0x533645] __TEXT,__cstring: site.NerineFunctions
  [0x53365a] __TEXT,__cstring: virtual bool NerineFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x5336a3] __TEXT,__cstring: virtual bool NerineFunctions::detectFastsim()
  [0x5336d1] __TEXT,__cstring: AppleJPEGDriverUserClient
  [0x5336eb] __TEXT,__cstring: site.AppleJPEGDriverUserClient
  [0x53370a] __TEXT,__cstring: 1211111212221212111111111111111212
  [0x53372d] __TEXT,__cstring: IOUserClientDefaultLocking
  [0x533748] __TEXT,__cstring: IOUserClientDefaultLockingSetProperties
  [0x533770] __TEXT,__cstring: IOUserClientDefaultLockingSingleThreadExternalMethod
  [0x5337a5] __TEXT,__cstring: IOUserClientEntitlements
  [0x5337be] __TEXT,__cstring: com.apple.applejpegdriver.poweron
  [0x5337e0] __TEXT,__cstring: com.apple.applejpegdriver.ajpegtestapp
  [0x533807] __TEXT,__cstring: virtual IOReturn AppleJPEGDriverUserClient::registerNotificationPort(mach_port_t, UInt32, UInt32)
  [0x533869] __TEXT,__cstring: CatnipFunctions
  [0x533879] __TEXT,__cstring: site.CatnipFunctions
  [0x53388e] __TEXT,__cstring: virtual bool CatnipFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x5338d7] __TEXT,__cstring: DahliaFunctions
  [0x5338e7] __TEXT,__cstring: site.DahliaFunctions
  [0x5338fc] __TEXT,__cstring: virtual bool DahliaFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x533945] __TEXT,__cstring: AppleJPEGHal
  [0x533952] __TEXT,__cstring: site.AppleJPEGHal
  [0x533964] __TEXT,__cstring: 12211111111111112221122222222122222
  [0x53398d] __TEXT,__cstring: bool AppleJPEGHal::init(uint32_t, AppleJPEGDriver *, IOService *, IOWorkLoop *, uint32_t, bool, bool, uint32_t)
  [0x5339fd] __TEXT,__cstring: die-id
  [0x533a04] __TEXT,__cstring: function-set_perf_state_floor
  [0x533a22] __TEXT,__cstring: void AppleJPEGHal::pollingForAXI()
  [0x533a45] __TEXT,__cstring: void AppleJPEGHal::interruptOccurred_gated(IOInterruptEventSource *, int)
  [0x533a8f] __TEXT,__cstring: bool AppleJPEGHal::checkForInterrupt(IOFilterInterruptEventSource *)
  [0x533ad4] __TEXT,__cstring: IOReturn AppleJPEGHal::createInterruptEventSource(IOWorkLoop *)
  [0x533b14] __TEXT,__cstring: void AppleJPEGHal::showErrorRequestInfo(ajpeg_setup_t *)
  [0x533b4d] __TEXT,__cstring: IOReturn AppleJPEGHal::finishCoding_gated(ajpeg_setup_t *)
  [0x533b88] __TEXT,__cstring: IOReturn AppleJPEGHal::executeOperation_gated(ajpeg_setup_t *)
  [0x533bc7] __TEXT,__cstring: enableDeviceClockWrapper
  [0x533be0] __TEXT,__cstring: enableDeviceClockLowLevel
  [0x533bfa] __TEXT,__cstring: uint32_t AppleJPEGHal::checkHardwareVersion()
  [0x533c28] __TEXT,__cstring: IOReturn AppleJPEGHal::startDecoderGated(ajpeg_setup_t *)
  [0x533c62] __TEXT,__cstring: IOReturn AppleJPEGHal::startEncoderGated(ajpeg_setup_t *)
  [0x533c9c] __TEXT,__cstring: singleClockIndexDevice
  [0x533cb3] __TEXT,__cstring: AppleJPEGWrapperControlV9
  [0x533ccd] __TEXT,__cstring: site.AppleJPEGWrapperControlV9
  [0x533cec] __TEXT,__cstring: virtual void AppleJPEGWrapperControl::set_jw_axi_tcount(uint32_t)
  [0x533d2e] __TEXT,__cstring: virtual uint32_t AppleJPEGWrapperControl::read_jw_axi_tcount()
  [0x533d6d] __TEXT,__cstring: virtual void AppleJPEGWrapperControl::set_jw_axi_tlimit(uint32_t)
  [0x533daf] __TEXT,__cstring: virtual uint32_t AppleJPEGWrapperControl::read_jw_axi_tlimit()
  [0x533dee] __TEXT,__cstring: IOReturn AppleJPEGDart::registerMapper(uint32_t, uint32_t, IOService *)
  [0x533e36] __TEXT,__cstring: setParameter
  [0x533e43] __TEXT,__cstring: iomd-cache-size
  [0x533e53] __TEXT,__cstring: iomd-cache-ttl
  [0x533e62] __TEXT,__cstring: registerErrorHandler
  [0x533e77] __TEXT,__cstring: setActive
  [0x533e81] __TEXT,__cstring: cacheFlushInactive
  [0x533e94] __TEXT,__cstring: IOReturn AppleJPEGDart::mapMemoryDescriptor(IOMemoryDescriptor *, uint32_t, IODMACommand **, IOPhysicalAddress *, s_debug_info *)
  [0x533f16] __TEXT,__cstring: IOReturn AppleJPEGDart::unmapMemoryDescriptor(IOMemoryDescriptor *, uint32_t, IODMACommand *, uint32_t)
  [0x533f7e] __TEXT,__cstring: setIomdCacheAttribute
  [0x533f94] __TEXT,__cstring: iomdEarlyReclaim
  [0x533fa5] __TEXT,__cstring: iomdEarlyPurge
  [0x533fb4] __TEXT,__cstring: KopsiaFunctions
  [0x533fc4] __TEXT,__cstring: site.KopsiaFunctions
  [0x533fd9] __TEXT,__cstring: virtual bool KopsiaFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x534022] __TEXT,__cstring: site.AppleJPEGPU
  [0x534033] __TEXT,__cstring: void AppleJPEGPM::setPUPowerState(uint32_t, bool, bool)
  [0x53406b] __TEXT,__cstring: bool AppleJPEGPU::_getPUPower()
  [0x53408b] __TEXT,__cstring: LotusFunctions
  [0x53409a] __TEXT,__cstring: site.LotusFunctions
  [0x5340ae] __TEXT,__cstring: virtual bool LotusFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x5340f6] __TEXT,__cstring: AppleJPEGWrapperControlV11
  [0x534111] __TEXT,__cstring: site.AppleJPEGWrapperControlV11
  [0x534131] __TEXT,__cstring: AppleJPEGWrapperControlV8
  [0x53414b] __TEXT,__cstring: site.AppleJPEGWrapperControlV8
  [0x53416a] __TEXT,__cstring: CloverFunctions
  [0x53417a] __TEXT,__cstring: site.CloverFunctions
  [0x53418f] __TEXT,__cstring: virtual bool CloverFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x5341d8] __TEXT,__cstring: StockFunctions
  [0x5341e7] __TEXT,__cstring: site.StockFunctions
  [0x5341fb] __TEXT,__cstring: virtual bool StockFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x534243] __TEXT,__cstring: HibiscusFunctions
  [0x534255] __TEXT,__cstring: site.HibiscusFunctions
  [0x53426c] __TEXT,__cstring: virtual bool HibiscusFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x5342b7] __TEXT,__cstring: AppleJPEGWrapperControlLegacy
  [0x5342d5] __TEXT,__cstring: site.AppleJPEGWrapperControlLegacy
  [0x5342f8] __TEXT,__cstring: virtual void AppleJPEGWrapperControlLegacy::ajpeg_drv_set_decode_submode(ajpeg_setup_t *)
  [0x534352] __TEXT,__cstring: LegacyFunctions
  [0x534362] __TEXT,__cstring: site.LegacyFunctions
  [0x53437b] __TEXT,__cstring: IOReturn AppleJPEGWrapperControl::reset_jpeg_block()
  [0x5343b0] __TEXT,__cstring: IOReturn AppleJPEGWrapperControl::encoderHWSetup(ajpeg_setup_t *)
  [0x5343f2] __TEXT,__cstring: bool AppleJPEGWrapperControl::getIsFsim() const
  [0x534422] __TEXT,__cstring: TansyFunctions
  [0x534431] __TEXT,__cstring: site.TansyFunctions
  [0x534445] __TEXT,__cstring: virtual bool TansyFunctions::setupAXIRegisterOffset(uint32_t, uint64_t)
  [0x53448d] __TEXT,__cstring: void RequestHandling::matrixConvYUVtoRGBA(ajpeg_setup_t *)
  [0x5344c8] __TEXT,__cstring: IOReturn RequestHandling::encodeRequestValidation(JpegRequest *)
  [0x534509] __TEXT,__cstring: IOReturn RequestHandling::decodeRequestValidation(JpegRequest *)
  [0x53454a] __TEXT,__cstring: IOReturn RequestHandling::decodeHWRequestSetup(JpegRequest *)
  [0x534588] __TEXT,__cstring: IOReturn RequestHandling::encodeHWRequestSetup(JpegRequest *)
  [0x5345c6] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: decode codec=%d
  [0x5345f5] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Decode cannot handle any IMG_pYUV12_4XX_2P modes!
  [0x534654] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Illegal Decode Submode %d at line %d
  [0x53474a] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : BAD IMAGE Decode MODE %x at line %d
  [0x53479b] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Decode cannot handle CMP_YUV_422 to IMG_YUV_444_2P
  [0x5347fb] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Decode cannot handle CMP_YUV_420 to IMG_YUV_444_2P
  [0x53485b] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Decode cannot handle CMP_YUV_411 to IMG_YUV_444_2P
  [0x5348bb] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Illegal scale factor %d
  [0x534900] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Illegal rddma p0 address at compress mode %d
  [0x53495a] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Illegal rddma p1 address at compress mode %d
  [0x5349b4] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Illegal rddma p0 metadata base address at compress mode %d
  [0x534a1c] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Illegal rddma p1 metadata base address address at compress mode %d
  [0x534a8c] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: encode codec=%d
  [0x534abb] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Illegal Encode Submode %d at line %d
  [0x534bb1] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : BAD IMAGE Encode MODE %x at line %d
  [0x534c02] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : PACKED IMG_pYUV10_444_2P on chroma AVG sub-sample must have even width %x at line %d
  [0x534c84] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle any CMP_YUV_411
  [0x534cd6] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_pYUV10_422_2P to CMP_YUV_444
  [0x534d39] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_pYUV10_422_2P to CMP_YUV_420
  [0x534d9c] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_pYUV10_420_2P to CMP_YUV_444
  [0x534dff] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV_422_2P to CMP_YUV_444
  [0x534e5f] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV_420_2P to CMP_YUV_444
  [0x534ebf] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV_422_1P to CMP_YUV_444
  [0x534f1f] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV_420_2P to CMP_YUV_422
  [0x534f7f] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV10_422_2P to CMP_YUV_420
  [0x534fe1] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV10_420_2P to CMP_YUV_444
  [0x535043] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV12_422_2P to CMP_YUV_444
  [0x5350a5] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV12_422_2P to CMP_YUV_420
  [0x535107] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV12_420_2P to CMP_YUV_444
  [0x535169] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_pYUV12_422_2P to CMP_YUV_444
  [0x5351cc] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_pYUV12_422_2P to CMP_YUV_420
  [0x53522f] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_pYUV12_420_2P to CMP_YUV_444
  [0x535292] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_pYUV10_420_2P to CMP_YUV_422
  [0x5352f5] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV10_420_2P to CMP_YUV_422
  [0x535357] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_YUV12_420_2P to CMP_YUV_422
  [0x5353b9] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Encode cannot handle IMG_pYUV12_420_2P to CMP_YUV_422
  [0x5355ed] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : Illegal width and height setting, pixel_width_x: %d, pixel_height_y: %d
  [0x535662] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : setup->stride_p0 = 0x%x. MUST BE 4B MULTIPLE FOR MODE 0x%x!
  [0x5356cb] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : setup->rddma_base_adr_p0 = 0x%x. MUST BE 4B ALIGNED FOR MODE 0x%x!
  [0x5357a4] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : setup->stride_p1 = 0x%x. MUST BE 8B MULTIPLE FOR MODE 0x%x!
  [0x535876] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : setup->wrdma_base_adr_p0 = 0x%x. MUST BE 4B ALIGNED FOR MODE 0x%x!
  [0x535a28] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: Check setup : setup->wrdma_base_adr_p1 = 0x%x. MUST BE 8B ALIGNED FOR MODE 0x%x!
  [0x535a98] __TEXT,__os_log: AppleJPEGDriver: %s rdcnv_bitdepth_out(%d)
  [0x535ac4] __TEXT,__os_log: AppleJPEGDriver: %s: ERROR: Width larger than stride, P0: %x > %x, is packed format %d
  [0x535b1d] __TEXT,__os_log: AppleJPEGDriver: %s: ERROR: Width larger than stride, P1: %x > %x
  [0x535b5f] __TEXT,__os_log: is packed format %d
  [0x535b75] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: ajpeg_drv_setx_encode_CMP_YUV_444 illegal mode!
  [0x535bc4] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: ajpeg_drv_setx_encode_CMP_YUV_422 illegal mode!
  [0x535c13] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: ajpeg_drv_setx_encode_CMP_YUV_420 illegal mode!
  [0x535c62] __TEXT,__os_log: AppleJPEGDriver: FATAL ERROR: ajpeg_drv_setx_encode_CMP_YUV_400 illegal mode!
  [0x535cb1] __TEXT,__os_log: AppleJPEGDriver: * %s : Virtual function, shall not be called
  [0x535da9] __TEXT,__os_log: AppleJPEGDriver: %s(): Failed to alloc mpQueueLock!
  [0x535dde] __TEXT,__os_log: AppleJPEGDriver: %s(): queue[%d] is empty
  [0x535e09] __TEXT,__os_log: AppleJPEGDriver: %s[%p] : cannot initialize the initLock, mpInitlock=%p
  [0x535e51] __TEXT,__os_log: AppleJPEGDriver: %s [%p] : provider %p, instance %p, result %x FAILED.
  [0x535e99] __TEXT,__os_log: AppleJPEGDriver: ** %s [%p] : provider %p probing again!  Inconceivable!
  [0x535ee3] __TEXT,__os_log: AppleJPEGDriver: %s : dartHwError = %s
  [0x535f0b] __TEXT,__os_log: AppleJPEGDriver: %s : dartHwError NULL
  [0x535f32] __TEXT,__os_log: AppleJPEGDriver: %s : dartHwStatus = 0x%x
  [0x535f5d] __TEXT,__os_log: AppleJPEGDriver: %s : dartHwStatus NULL
  [0x535f85] __TEXT,__os_log: AppleJPEGDriver: %s : dartIsWrite = 0x%x
  [0x535faf] __TEXT,__os_log: AppleJPEGDriver: %s : errorInfo->IsWrite NULL
  [0x535fdd] __TEXT,__os_log: AppleJPEGDriver: %s : dartAddress = 0x%llx
  [0x536009] __TEXT,__os_log: AppleJPEGDriver: %s : dartAddress NULL
  [0x536030] __TEXT,__os_log: AppleJPEGDriver: %s : dartAXIId = 0x%x
  [0x536058] __TEXT,__os_log: AppleJPEGDriver: %s : dartAXIId NULL
  [0x53607e] __TEXT,__os_log: AppleJPEGDriver: %s(): IOService start() method failed!
  [0x5360b7] __TEXT,__os_log: AppleJPEGDriver: %s(): getNodeIndex() failed with %d!
  [0x5360ee] __TEXT,__os_log: AppleJPEGDriver: %s(): Invalid codec number %u >= %u!
  [0x536125] __TEXT,__os_log: AppleJPEGDriver: %s(): NULL mWorkLoop!
  [0x53614d] __TEXT,__os_log: AppleJPEGDriver: %s(): NULL mCommandGate!
  [0x536178] __TEXT,__os_log: AppleJPEGDriver: %s(): NULL mIOSurfaceRoot!
  [0x5361a5] __TEXT,__os_log: AppleJPEGDriver: %s(): NULL mJpegDart!
  [0x5361cd] __TEXT,__os_log: AppleJPEGDriver: %s(): NULL mJpegPM!
  [0x5361f3] __TEXT,__os_log: AppleJPEGDriver: %s(): NULL mCommandQueueManager!
  [0x536226] __TEXT,__os_log: AppleJPEGDriver: %s(): NULL mRequestHandler!
  [0x536254] __TEXT,__os_log: AppleJPEGDriver: %s(): NULL mCoreAnalyzer!
  [0x536280] __TEXT,__os_log: AppleJPEGDriver: %s(): Core Analyzer start() failed with %d!
  [0x5362be] __TEXT,__os_log: AppleJPEGDriver: %s(): DART registerMapper() failed with %d!
  [0x5362fc] __TEXT,__os_log: AppleJPEGDriver: ** AppleJPEGDriver detects type 0x%x CPU!!!
  [0x53633a] __TEXT,__os_log: AppleJPEGDriver: %s(): NULL mCodecHal[%u]!
  [0x536366] __TEXT,__os_log: AppleJPEGDriver: %s(): Failed to initialize mCodecHal[%u]!
  [0x5363a2] __TEXT,__os_log: AppleJPEGDriver: ** AppleJPEGDriver type from register 0x%x
  [0x5363df] __TEXT,__os_log: AppleJPEGDriver: %s(): Fastsim detected via platform fuses
  [0x53641b] __TEXT,__os_log: AppleJPEGDriver: %s(): HW version read from register 0x%x does not match EDT value 0x%x
  [0x536474] __TEXT,__os_log: AppleJPEGDriver: %s(): Skipping HW version check [0x%x (reg), 0x%x (EDT)]
  [0x5364bf] __TEXT,__os_log: AppleJPEGDriver: ** %s[%p] : intForPM with provider=%p
  [0x5364f7] __TEXT,__os_log: AppleJPEGDriver: %s(): Power manager registerPU() failed with %d!
  [0x53653a] __TEXT,__os_log: AppleJPEGDriver: ** %s [%p] : ERROR: total codec num %d, limiting to %d
  [0x536582] __TEXT,__os_log: AppleJPEGDriver: %s(): ERROR: start function failed for codec num %u [provider = %p this = %p]
  [0x5365e2] __TEXT,__os_log: AppleJPEGDriver: %s(): Successfully added codec num %u [%p]
  [0x53661f] __TEXT,__os_log: AppleJPEGDriver: ** %s[%p] : 'jpeg-log' boot-arg detected: 0x%x
  [0x536660] __TEXT,__os_log: AppleJPEGDriver: ** %s[%p] : 'jpeg-disableWorkaround' boot-arg detected: %u
  [0x5366ad] __TEXT,__os_log: AppleJPEGDriver: ** %s[%p] : 'jpeg-fsim' boot-arg detected: %u
  [0x5366ed] __TEXT,__os_log: AppleJPEGDriver: ** %s[%p] : 'axi2af_parity_enable' boot-arg detected: %u
  [0x536738] __TEXT,__os_log: AppleJPEGDriver: * %s: mCoreAnalyzer is null
  [0x536765] __TEXT,__os_log: AppleJPEGDriver: * %s: Failed to cast CoreAnalyticsHub
  [0x53679c] __TEXT,__os_log: AppleJPEGDriver: ** %s : HW is busy waiting for idle, %d codecs busy
  [0x5367e2] __TEXT,__os_log: AppleJPEGDriver: + %s [%p] :  task 0x%p, securityID %p, type %u, properties %p, handler %p
  [0x53683d] __TEXT,__os_log: AppleJPEGDriver: ** %s [%p] : %lld clients in queue, Open=%lld, Close=%lld, Open-Close=%lld
  [0x53689a] __TEXT,__os_log: AppleJPEGDriver: ** %s [%p] : user client failed to attach to driver's IORegistry!!!
  [0x5368f0] __TEXT,__os_log: AppleJPEGDriver: ** %s [%p] user client failed to start!!!
  [0x53692c] __TEXT,__os_log: AppleJPEGDriver: * %s [%p] : task [0x%p] client close %p
  [0x536966] __TEXT,__os_log: AppleJPEGDriver: %s(): Forcing clock speed to %u
  [0x536998] __TEXT,__os_log: AppleJPEGDriver: ** %s : cn=%d WaitingIdle && BusyCodecs==0: mCodecHal[%d] still active! loadScore = %llu
  [0x536a03] __TEXT,__os_log: AppleJPEGDriver: %s wait for idle done, powering off
  [0x536a39] __TEXT,__os_log: AppleJPEGDriver: * %s invalid NULL surface
