  [0xd10102] __TEXT,__const: accessorysensormgrd
  [0xd44caa] __TEXT,__const: ncom.apple.batteryintelligenced.tallpieestimator
  [0xd44ce2] __TEXT,__const: mcom.apple.batteryintelligenced.batteryanalysis
  [0xd44dca] __TEXT,__const: OTACrashCopier
  [0xd44de2] __TEXT,__const: Tcom.apple.crash_mover
  [0xd44f32] __TEXT,__const: OverlayUI
  [0xd44f42] __TEXT,__const: ccom.apple.DocumentManagerCore.Rename
  [0xd4501a] __TEXT,__const: pairedsyncd
  [0xd45036] __TEXT,__const: Qhomekit.pairedsync
  [0xd4504d] __TEXT,__const: Veventkitsync.pairedsync
  [0xd45069] __TEXT,__const: [NPKCompanionAgent.pairedsync
  [0xd4508a] __TEXT,__const: ]bulletindistributor.pairedsync
  [0xd450b7] __TEXT,__const: Kd.pairedsync
  [0xd450c8] __TEXT,__const: Nauth.pairedsync
  [0xd450dc] __TEXT,__const: Kappconduitd.
  [0xd450ea] __TEXT,__const: Ipairedsync
  [0xd450f9] __TEXT,__const: Rappstate.pairedsync
  [0xd45114] __TEXT,__const: Qapssync.pairedsync
  [0xd4512b] __TEXT,__const: Xobilemail.nano.pairedsync
  [0xd4514c] __TEXT,__const: Vhortcutsyncd.pairedsync
  [0xd4516d] __TEXT,__const: J.pairedsync
  [0xd4517d] __TEXT,__const: Ractionsd.pairedsync
  [0xd45198] __TEXT,__const: Rlockface.pairedsync
  [0xd451b0] __TEXT,__const: Roreduetd.pairedsync
  [0xd451c8] __TEXT,__const: Tallhistory.pairedsync
  [0xd451ea] __TEXT,__const: Uappregistry.pairedsync
  [0xd45205] __TEXT,__const: Xsystemsettings.pairedsync
  [0xd45223] __TEXT,__const: Zweatherprefssync.pairedsync
  [0xd45243] __TEXT,__const: Yresourcegrabber.pairedsync
  [0xd45262] __TEXT,__const: I.prelaunch
  [0xd45274] __TEXT,__const: Nhone.pairedsync
  [0xd45288] __TEXT,__const: Hrefsyncd.
  [0xd452a2] __TEXT,__const: Ofirst.pairedsync
  [0xd452ba] __TEXT,__const: Iairedsync.
  [0xd452cf] __TEXT,__const: Iquickboard
  [0xd452de] __TEXT,__const: Kmessagessync
  [0xd452ef] __TEXT,__const: Mnptocompaniond
  [0xd45302] __TEXT,__const: Oaddressbooksyncd
  [0xd45317] __TEXT,__const: ^watchconnectivity.complications
  [0xd4533e] __TEXT,__const: Wivate.healthd.pairedsync
  [0xd4535b] __TEXT,__const: votectedcloudstorage.protectedcloudkeysyncing.pairedsync
  [0xd4542a] __TEXT,__const: pairedunlockd
  [0xd454ca] __TEXT,__const: parsec-fbf
  [0xd454da] __TEXT,__const: ucom.apple.siri.parsec.CoreParsec.SearchPoirotExtension
  [0xd4563a] __TEXT,__const: passcodenagd
  [0xd456da] __TEXT,__const: PasscodeSettingsSubscriber
  [0xd457a6] __TEXT,__const: Zfinancekit.image-processing
  [0xd457c9] __TEXT,__const: Veserviced.kmlXpcService
  [0xd45808] __TEXT,__const: Hcoreidvd.
  [0xd45813] __TEXT,__const: Rweb-presentment.xpc
  [0xd4582b] __TEXT,__const: ]handoff-experimental-data-pipe
  [0xd4584e] __TEXT,__const: Kidentity-pro
  [0xd4585c] __TEXT,__const: Lvisioning.xpc
  [0xd4587e] __TEXT,__const: F-ui.xpc
  [0xd45892] __TEXT,__const: icom.apple.PassbookUISceneService.remote-ui
  [0xd458ca] __TEXT,__const: bcom.apple.PassKitServicesXPCService
  [0xd4597a] __TEXT,__const: PassKitCoreXPCService
  [0xd45a2a] __TEXT,__const: PassKitWrapperXPCServiceUI
  [0xd45afa] __TEXT,__const: passwordbreachd
  [0xd45b14] __TEXT,__const: com.apple.AuthenticationServices.AuthenticationServicesAgent.AutomaticSecurityUpgrade
  [0xd45c82] __TEXT,__const: Xcom.apple.iWorkFileFormat
  [0xd45d32] __TEXT,__const: pbdevtool
  [0xd45dd2] __TEXT,__const: Lkern.procname
  [0xd45dfa] __TEXT,__const: Tcom.apple.pcapd-local
  [0xd45e1d] __TEXT,__const: Lusr/bin/touch
  [0xd45e31] __TEXT,__const: System/Library/Frameworks/SystemConfiguration.framework/deprecated-get-network-info
  [0xd45f0a] __TEXT,__const: peakpowermanagerd
  [0xd45f22] __TEXT,__const: LAppleT8015PPM
  [0xd45fca] __TEXT,__const: pebbleplayd
  [0xd46122] __TEXT,__const: PeopleViewService
  [0xd4619a] __TEXT,__const: perceptiond
  [0xd461c7] __TEXT,__const: Qmotifgraph.service
  [0xd461de] __TEXT,__const: _vpg.virtualoutdoors.frameService
  [0xd46203] __TEXT,__const: carkit.service.ObjectDetectionService
  [0xd46247] __TEXT,__const: Mri.LaviViz.xpc
  [0xd4625a] __TEXT,__const: jensingintelligence.service.NutritionService
  [0xd4628a] __TEXT,__const: Iperception
  [0xd462a9] __TEXT,__const: Itightbeam.
  [0xd462bf] __TEXT,__const: GpeopleID
  [0xd462cc] __TEXT,__const: JlocalCamera
  [0xd462dc] __TEXT,__const: QkinoStreamsForward
  [0xd462f3] __TEXT,__const: TvirtualOutdoorsCamera
  [0xd4630d] __TEXT,__const: V.tightbeam.perceptiond.
  [0xd4632f] __TEXT,__const: Gidentity
  [0xd4633c] __TEXT,__const: Hfaceprint
  [0xd4634a] __TEXT,__const: Ivoiceprint
  [0xd46388] __TEXT,__const: Jntispoofing
  [0xd463a1] __TEXT,__const: Gpresence
  [0xd463b2] __TEXT,__const: fcom.apple.vpg.VirtualOutdoorsXPCService
  [0xd46492] __TEXT,__const: perfdiagsselfenabled
  [0xd4653a] __TEXT,__const: PerfPowerServices
  [0xd46552] __TEXT,__const: QAppleMCCUserClient
  [0xd46572] __TEXT,__const: VAppleMemCacheController
  [0xd46592] __TEXT,__const: SAppleSPUAppInterface
  [0xd465ba] __TEXT,__const: _com.apple.powerd.extendedbattery
  [0xd465e2] __TEXT,__const: ]com.apple.PPSFeatureFlagReader
  [0xd4660a] __TEXT,__const: Jcom.apple.P
  [0xd46617] __TEXT,__const: FPSRelay
  [0xd46623] __TEXT,__const: ^erfPowerServicesSignpostService
  [0xd4664a] __TEXT,__const: N/usr/bin/bsdtar
  [0xd466f2] __TEXT,__const: PerfPowerServicesExtended
  [0xd46712] __TEXT,__const: YAppleH16MemCacheController
  [0xd467da] __TEXT,__const: PerfPowerServicesSignpostReader
  [0xd468aa] __TEXT,__const: PerfPowerServicesSignpostService
  [0xd46952] __TEXT,__const: PerfPowerTelemetryClientRegistrationService
  [0xd46a12] __TEXT,__const: PerfPowerTelemetryReaderService
  [0xd46ad2] __TEXT,__const: PersonalizedSensingService
  [0xd46c16] __TEXT,__const: Oproximitycamerad
  [0xd46c2b] __TEXT,__const: _visualintelligence.daemon-status
  [0xd46c52] __TEXT,__const: ccom.apple.CloudSharing.SPIHelper-iOS
  [0xd46c8b] __TEXT,__const: Ximmy54.SuperWubi.Keyboard
  [0xd46ca9] __TEXT,__const: _eethukthomas.ezhuthaani.manglish
  [0xd46cce] __TEXT,__const: \clusterdev.malayalam.keyboard
  [0xd46cf0] __TEXT,__const: ]evoafuture.bettertalk.keyboard
  [0xd46d13] __TEXT,__const: `hamropatro.HamroKeyboard.HamroKey
  [0xd46d39] __TEXT,__const: clinecorp.LineEmoji.KeyboardExtension
  [0xd46e02] __TEXT,__const: photosfaced
  [0xd46fd2] __TEXT,__const: pkreporter
  [0xd47072] __TEXT,__const: pointeruid
  [0xd4714a] __TEXT,__const: polarisd
  [0xd4715a] __TEXT,__const: Ycom.apple.polaris.offloadd
  [0xd47212] __TEXT,__const: postersyncd
  [0xd472ca] __TEXT,__const: aAppleSmartBatteryManagerUserClient
  [0xd472fa] __TEXT,__const: WAppleSmartBatteryManager
  [0xd47323] __TEXT,__const: Fpoweron
  [0xd4732f] __TEXT,__const: NConsoleShutdown
  [0xd47343] __TEXT,__const: RPowerByCalendarDate
  [0xd4735b] __TEXT,__const: TTimeZoneOffsetSeconds
  [0xd47375] __TEXT,__const: aAutomatic Restart On Power Connect
  [0xd473a2] __TEXT,__const: MByCalendarDate
  [0xd473b5] __TEXT,__const: NRelativeToSleep
  [0xd473cc] __TEXT,__const: KleepWakeUUID
  [0xd473dd] __TEXT,__const: Mtandby Enabled
  [0xd473f0] __TEXT,__const: Mystem Shutdown
  [0xd4740a] __TEXT,__const: RShipChargeLimitData
  [0xd47442] __TEXT,__const: QAppleARMPMUCharger
  [0xd47462] __TEXT,__const: MDateOfFirstUse
  [0xd47475] __TEXT,__const: QCriticalAcOverride
  [0xd47492] __TEXT,__const: PCarrierModeStatus
  [0xd474aa] __TEXT,__const: JCarrierMode
  [0xd474b7] __TEXT,__const: ILowVoltage
  [0xd474c6] __TEXT,__const: JHighVoltage
  [0xd474da] __TEXT,__const: FVoltage
  [0xd474ea] __TEXT,__const: IPresentDOD
  [0xd474f9] __TEXT,__const: NAlgoTemperature
  [0xd4750d] __TEXT,__const: NInstantAmperage
  [0xd47521] __TEXT,__const: QDataCaptureTrigger
  [0xd47538] __TEXT,__const: QVirtualTemperature
  [0xd47552] __TEXT,__const: IaptureTime
  [0xd47561] __TEXT,__const: IhargeAccum
  [0xd4757e] __TEXT,__const: MOSIntelligence
  [0xd47598] __TEXT,__const: Iui.bdcdata
  [0xd475a7] __TEXT,__const: ]d.batterytrusteddata.dailytask
  [0xd475d2] __TEXT,__const: scom.apple.PerfPowerServicesClientRegistrationService
  [0xd47612] __TEXT,__const: S/usr/local/bin/ulpm_
  [0xd47633] __TEXT,__const: Kreload_sb.sh
  [0xd476da] __TEXT,__const: Xkern.is_rtc_flipbook_wake
  [0xd476fa] __TEXT,__const: powerdatad
  [0xd4778a] __TEXT,__const: powerexceptionsd
  [0xd477a2] __TEXT,__const: Z#cpu-runaway-sfi-follows-bg
  [0xd477ca] __TEXT,__const: ^com.apple.PowerExceptionsNotify
  [0xd477f2] __TEXT,__const: Tcom.apple.XPCDetector
  [0xd478a2] __TEXT,__const: powerexperienced
  [0xd478ba] __TEXT,__const: MAppleT8010CLPC
  [0xd478d2] __TEXT,__const: MAppleT7000CLPC
  [0xd478ea] __TEXT,__const: V/usr/local/bin/clpcctrl
  [0xd479b2] __TEXT,__const: powerlogHelperd
  [0xd479ca] __TEXT,__const: Lcom.apple.PPS
  [0xd479f7] __TEXT,__const: KLocaleReader
  [0xd47aa2] __TEXT,__const: PowerSubscriber
  [0xd47b3a] __TEXT,__const: PowerUIAgent
  [0xd47b4a] __TEXT,__const: XPredictiveChargingInhibit
  [0xd47b6a] __TEXT,__const: WAppleCallbackPowerSource
  [0xd47d12] __TEXT,__const: PPSFeatureFlagReader
  [0xd47daa] __TEXT,__const: PreboardService
  [0xd47e52] __TEXT,__const: previewsd
  [0xd47ee2] __TEXT,__const: printbandservice
  [0xd47f5a] __TEXT,__const: privacyaccountingd
  [0xd4801a] __TEXT,__const: privatecloudcomputed
  [0xd48192] __TEXT,__const: ProductKitService
  [0xd48242] __TEXT,__const: profiled
  [0xd48252] __TEXT,__const: Wprofiled.firstboot_check
  [0xd4827e] __TEXT,__const: Gstudentd
  [0xd4828b] __TEXT,__const: Sbiometrickitd.oyster
  [0xd482a4] __TEXT,__const: lassessmentagent.activeRestrictionUUIDFetching
  [0xd482da] __TEXT,__const: ]com.apple.springboard.gsEvents
  [0xd48302] __TEXT,__const: fcom.apple.FontServices.UserFontServices
  [0xd48332] __TEXT,__const: dcom.apple.FontServices.GSFontServices
  [0xd48362] __TEXT,__const: `com.apple.security.XPCAcmeService
  [0xd48432] __TEXT,__const: ProfileValidatedAppIdentityService
  [0xd484ea] __TEXT,__const: fcom.apple.ClassKit.LaunchAngel.services
  [0xd485b2] __TEXT,__const: promotedcontentd
  [0xd485d6] __TEXT,__const: Lmetrickit.xpc
  [0xd48600] __TEXT,__const: IXPCService
  [0xd4860f] __TEXT,__const: Sadprivacyd.idmanager
  [0xd48628] __TEXT,__const: Opromotedcontent.
  [0xd4863a] __TEXT,__const: Fsigning
  [0xd48646] __TEXT,__const: Jpcinterface
  [0xd48656] __TEXT,__const: Qattributionservice
  [0xd48672] __TEXT,__const: ecom.apple.ap.PromotedContentJetService
  [0xd4874a] __TEXT,__const: PromotedContentJetService
  [0xd487ea] __TEXT,__const: ProtectedCloudKeySyncing
  [0xd4888a] __TEXT,__const: prototyped
  [0xd4889a] __TEXT,__const: scom.apple.TranslationUIServices.TranslationUIService
  [0xd488da] __TEXT,__const: bcom.apple.recap.EventProfileService
  [0xd489a2] __TEXT,__const: ProxiedCrashCopier
  [0xd48a3a] __TEXT,__const: proximitycamerad
  [0xd48ae2] __TEXT,__const: proximitycontrold
  [0xd48b06] __TEXT,__const: JPCAngel.xpc
  [0xd48b16] __TEXT,__const: Ysharing.airdropui.services
  [0xd48bba] __TEXT,__const: ptpassivecollectiond
  [0xd48c7a] __TEXT,__const: ptpcamerad
  [0xd48de2] __TEXT,__const: PurpleReverseProxy
  [0xd48e7a] __TEXT,__const: QuickTypePFLExtension
  [0xd48ec5] __TEXT,__const: Grapport.
  [0xd48ecf] __TEXT,__const: Isiri-audio
  [0xd48ede] __TEXT,__const: ONearbyInvitation
  [0xd48ef3] __TEXT,__const: Wsharingd.contactprovider
  [0xd48f10] __TEXT,__const: bApplicationService.ServiceDiscovery
  [0xd48fd2] __TEXT,__const: recentsd
  [0xd4907a] __TEXT,__const: relatived
  [0xd49142] __TEXT,__const: [com.apple.suggestd.reminders
  [0xd491fa] __TEXT,__const: remoteappintentsd
  [0xd49212] __TEXT,__const: hcom.apple.linkd.observationStatusRegistry
  [0xd4938a] __TEXT,__const: RemoteInjectionAgent
  [0xd49432] __TEXT,__const: RemoteManagementAgent
  [0xd4944a] __TEXT,__const: scom.apple.SafariShared.SafariConfigurationSubscriber
  [0xd49546] __TEXT,__const: oAuthenticationServices.ASConfigurationSubscriber
  [0xd4957b] __TEXT,__const: Premotemanagement.
  [0xd4958e] __TEXT,__const: PAccountSubscriber
  [0xd495a4] __TEXT,__const: WLegacyProfilesSubscriber
  [0xd495c1] __TEXT,__const: XWatchEnrollmentSubscriber
  [0xd495df] __TEXT,__const: YPasscodeSettingsSubscriber
  [0xd495fe] __TEXT,__const: bInteractiveLegacyProfilesSubscriber
  [0xd49629] __TEXT,__const: PecuritySubscriber
  [0xd4963f] __TEXT,__const: VoftwareUpdateSubscriber
  [0xd49663] __TEXT,__const: QmentTestSubscriber
  [0xd4967d] __TEXT,__const: MAppsSubscriber
  [0xd49690] __TEXT,__const: QSettingsSubscriber
  [0xd4972a] __TEXT,__const: remotemediaservicesd
  [0xd497d2] __TEXT,__const: remotepairingdeviced
  [0xd497ea] __TEXT,__const: Ocom.apple.remote
  [0xd497fc] __TEXT,__const: Kd.coredevice
  [0xd4980d] __TEXT,__const: fpairingdevice.auxiliaryMetadataProvider
  [0xd498fa] __TEXT,__const: fcom.apple.DocumentManagerCore.Downloads
  [0xd499d2] __TEXT,__const: [com.apple.chronod.replicator
  [0xd49a8a] __TEXT,__const: ReportCrash
  [0xd49a9a] __TEXT,__const: Wcom.apple.ReportCrashXPC
  [0xd49aea] __TEXT,__const: L/usr/bin/dash
  [0xd49baa] __TEXT,__const: ReportCrashService
  [0xd49bc2] __TEXT,__const: Vcom.apple.talon.browser
  [0xd49c8a] __TEXT,__const: ReportMemoryException
  [0xd49ca2] __TEXT,__const: Wcom.apple.gpumemd.client
  [0xd49cc2] __TEXT,__const: M/usr/bin/gcore
  [0xd49d5a] __TEXT,__const: Xvm.self_region_info_flags
  [0xd49d92] __TEXT,__const: ReportSystemMemory
  [0xd49eea] __TEXT,__const: ResolverService
  [0xd49f52] __TEXT,__const: resourcegrabberd
  [0xd4a01a] __TEXT,__const: restoreserviced
  [0xd4a032] __TEXT,__const: TBongoDeviceUserClient
  [0xd4a073] __TEXT,__const: NRMIICUserClient
  [0xd4a087] __TEXT,__const: WstrisGpioProbeUserClient
  [0xd4a0aa] __TEXT,__const: MBongoTransport
  [0xd4a0c4] __TEXT,__const: MGasGaugeUpdate
  [0xd4a0d7] __TEXT,__const: NAstrisGpioProbe
  [0xd4a182] __TEXT,__const: retimerd
  [0xd4a192] __TEXT,__const: ZAppleTypeCRetimerUserClient
  [0xd4a1ba] __TEXT,__const: PAppleTypeCRetimer
  [0xd4a3ca] __TEXT,__const: riskdatad
  [0xd4a3da] __TEXT,__const: _com.apple.TrustInsightsUIService
  [0xd4a4ae] __TEXT,__const: Jpassd.usage
  [0xd4a4be] __TEXT,__const: Rlocationd.gathering
  [0xd4a4da] __TEXT,__const: Zcom.apple.locationd.routine
  [0xd4a502] __TEXT,__const: bcom.apple.CoreRoutine.helperservice
  [0xd4a5b2] __TEXT,__const: royacaptured
  [0xd4a5c2] __TEXT,__const: dcom.apple.roya.royacaptured.userevent
  [0xd4a6b2] __TEXT,__const: rsync.samba
  [0xd4a6c2] __TEXT,__const: Q/usr/local/bin/ssh  [0xd4a7ea] __TEXT,__const: rtcreportingd
  [0xd4a7fa] __TEXT,__const: ccom.apple.RTCLocalBackendService.xpc
  [0xd4a8ba] __TEXT,__const: R/runningboard/pids1
  [0xd4a8da] __TEXT,__const: S/runningboard/header
  [0xd4a8fa] __TEXT,__const: R/runningboard/pids2
  [0xd4a9a1] __TEXT,__const: Ncoalition_roles
  [0xd4a9d2] __TEXT,__const: Tmemorystatus.ballast_
  [0xd4a9e9] __TEXT,__const: Fdrained
  [0xd4a9f5] __TEXT,__const: Hoffset_mb
  [0xd4aa22] __TEXT,__const: SAExtensionOrchestrator
  [0xd4aa55] __TEXT,__const: NGMSSELFIngestor
  [0xd4aa69] __TEXT,__const: SLLMCacheSELFIngestor
  [0xd4aa84] __TEXT,__const: NanoOxygenSaturation.watchkitapp.NanoOxygenSaturationWidgetExtension
  [0xd4aad9] __TEXT,__const: PBiomeSELFIngestor
  [0xd4aaef] __TEXT,__const: STranscriptSELFMapper
  [0xd4ab0c] __TEXT,__const: ]ResponseGenerationSELFIngestor
  [0xd4ab32] __TEXT,__const: SelemetrySELFIngestor
  [0xd4ab4b] __TEXT,__const: TranscriptSELFIngestor
  [0xd4ac12] __TEXT,__const: safefinancingd
  [0xd4acc2] __TEXT,__const: safetyalertsd
  [0xd4ad6a] __TEXT,__const: safetycheckd
  [0xd4ad7a] __TEXT,__const: ncom.apple.remotepairingdevice.pairingmanagement
  [0xd4ae32] __TEXT,__const: SBRendererService
  [0xd4aee2] __TEXT,__const: SCHelper
  [0xd4b16a] __TEXT,__const: screenshotsyncd
  [0xd4b252] __TEXT,__const: Scom.apple.eyereliefd
  [0xd4b26b] __TEXT,__const: }/var/mobile/Library/Preferences/com.apple.springboard.gsEvents
  [0xd4b2b2] __TEXT,__const: dcom.apple.FamilyControlsAgent.private
  [0xd4b37a] __TEXT,__const: ScreenTimeSettingsAgent
  [0xd4b39a] __TEXT,__const: jcom.apple.DeviceConfigurationAgent.provider
  [0xd4b3d2] __TEXT,__const: ncom.apple.SettingsServices.SearchReindexService
  [0xd4b4c0] __TEXT,__const: Massistant.sync
  [0xd4b4da] __TEXT,__const: lcom.apple.generativeexperiences.summarization
  [0xd4b514] __TEXT,__const: com.apple.accessibility.BrailleTranslation.BrailleTranslationService
  [0xd4b622] __TEXT,__const: O/powerHUDEntries
  [0xd4b646] __TEXT,__const: SFileProvider.service
  [0xd4b65f] __TEXT,__const: Vintelligenceflow.search
  [0xd4b67b] __TEXT,__const: agenerativesearch.server.federation
  [0xd4b6a2] __TEXT,__const: KMobileAsset.
  [0xd4b6b0] __TEXT,__const: MLinguisticData
  [0xd4b6c3] __TEXT,__const: QSpotlightResources
  [0xd4b6da] __TEXT,__const: Sspotlightknowledged.
  [0xd4b6f9] __TEXT,__const: Fupdater
  [0xd4b705] __TEXT,__const: Gimporter
  [0xd4b721] __TEXT,__const: Sntactsd.side-channel
  [0xd4b748] __TEXT,__const: binstant.receiver.textunderstandingd
  [0xd4b770] __TEXT,__const: Hreceiver.
  [0xd4b787] __TEXT,__const: Gcoreduet
  [0xd4b794] __TEXT,__const: Hfunlightd
  [0xd4b7a2] __TEXT,__const: Jsuggestions
  [0xd4b7bd] __TEXT,__const: F.search
  [0xd4b7c9] __TEXT,__const: Fdaemon.
  [0xd4b7e7] __TEXT,__const: Fhomekit
  [0xd4b7f3] __TEXT,__const: Gstickers
  [0xd4b800] __TEXT,__const: Hreminders
  [0xd4b80e] __TEXT,__const: Lnotifications
  [0xd4b823] __TEXT,__const: Falendar
  [0xd4b82f] __TEXT,__const: Korespotlight
  [0xd4b846] __TEXT,__const: Findexer
  [0xd4b876] __TEXT,__const: Iobiletimer
  [0xd4b88a] __TEXT,__const: |com.apple.corespotlight.scheduled.receiver.textunderstandingd
  [0xd4b8de] __TEXT,__const: Yspotlight.SearchAgent.test
  [0xd4b8fd] __TEXT,__const: Vcorespotlight.receiver.
  [0xd4b921] __TEXT,__const: Lcorespotlight
  [0xd4b95e] __TEXT,__const: `reminders.spotlightindexextension
  [0xd4b984] __TEXT,__const: cOfficeImport.OfficeSpotlightImporter
  [0xd4b9ad] __TEXT,__const: ePassKit.PassKitSpotlightIndexExtension
  [0xd4ba72] __TEXT,__const: SearchIndexer
  [0xd4ba82] __TEXT,__const: _com.apple.corespotlight.powerlog
  [0xd4bb46] __TEXT,__const: Zsearchparty.LocationQuality
  [0xd4bb6e] __TEXT,__const: F.findmy
  [0xd4bb77] __TEXT,__const: Nbeaconingd.push
  [0xd4bb8b] __TEXT,__const: Slocate.fenceservice2
  [0xd4bba4] __TEXT,__const: Wdeviced.btfindingsession
  [0xd4bbc1] __TEXT,__const: aicloud.findmydeviced.localfindable
  [0xd4bbeb] __TEXT,__const: Ile-pairing
  [0xd4bbfa] __TEXT,__const: Jsearchparty
  [0xd4bc12] __TEXT,__const: fcom.apple.findmy.locationqualityservice
  [0xd4bcc2] __TEXT,__const: searchtoold
  [0xd4bcd2] __TEXT,__const: icom.apple.generativelearning.server.memory
  [0xd4bd0a] __TEXT,__const: jcom.apple.FileBrowsingServices.PathResolver
  [0xd4bdda] __TEXT,__const: SecureControlService
  [0xd4bf42] __TEXT,__const: security-sysdiagnose
  [0xd4bf5a] __TEXT,__const: Xcom.apple.securityuploadd
  [0xd4bf7a] __TEXT,__const: ecom.apple.security.cloudkeychainproxy3
  [0xd4c07a] __TEXT,__const: Xkeychainsharingmessagingd
  [0xd4c0a6] __TEXT,__const: QTrustedPeersHelper
  [0xd4c0bd] __TEXT,__const: Wsecurity.KeychainDBMover
  [0xd4c0e2] __TEXT,__const: wcom.apple.AuthenticationServices.CredentialSharingGroups
  [0xd4c1a2] __TEXT,__const: securityresearchdevice-init
  [0xd4c26a] __TEXT,__const: SecuritySubscriber
  [0xd4c43a] __TEXT,__const: sensingpredictd
  [0xd4c4fa] __TEXT,__const: SensingPredictXPCService
  [0xd4c5c2] __TEXT,__const: ccom.apple.SensorKit.CHSupportService
  [0xd4c732] __TEXT,__const: SensorKitDataExport
  [0xd4c782] __TEXT,__const: hcom.apple.SensorKit.LongTermStorageHelper
  [0xd4c842] __TEXT,__const: SensorKitLongTermStorageHelper
  [0xd4c86a] __TEXT,__const: \com.apple.SensorKit.debugging
  [0xd4c90a] __TEXT,__const: sensornetd
  [0xd4c926] __TEXT,__const: Vinno.SaveDataXPCService
  [0xd4c945] __TEXT,__const: Qtoabenchtestdriver
  [0xd4c95c] __TEXT,__const: Tdpt.remoteinfoservice
  [0xd4ca0a] __TEXT,__const: ServicesAccountLinkingService
  [0xd4caba] __TEXT,__const: servicesintelligenced
  [0xd4cad2] __TEXT,__const: gcom.apple.ServicesIntelligenceXPCService
  [0xd4cb82] __TEXT,__const: seserviced
  [0xd4cb9e] __TEXT,__const: SSESUIServiceApp.mach
  [0xd4cbb7] __TEXT,__const: Ucarkit.pairing.service
  [0xd4cbd2] __TEXT,__const: _wallet.application-authorization
  [0xd4cc7a] __TEXT,__const: SessionFilterPreferenceProvider
  [0xd4cd22] __TEXT,__const: SessionFilterRecordingUpdater
  [0xd4cdc2] __TEXT,__const: SetStoreUpdateService
  [0xd4cdda] __TEXT,__const: fcom.apple.cascade.SetChangeRelayService
  [0xd4ce9a] __TEXT,__const: SettingsSearchReindexService
  [0xd4ceba] __TEXT,__const: SeymourAppStoreService
  [0xd4cf5a] __TEXT,__const: SeymourAssetService
  [0xd4cf72] __TEXT,__const: \com.apple.seymour.persistence
  [0xd4d01a] __TEXT,__const: SeymourBiomeService
  [0xd4d0ca] __TEXT,__const: SeymourHealthService
  [0xd4d162] __TEXT,__const: SeymourMetricsService
  [0xd4d1fa] __TEXT,__const: SeymourSharePlayService
  [0xd4d2aa] __TEXT,__const: SharedListeningConnectionService
  [0xd4d352] __TEXT,__const: SharedPreferences
  [0xd4d3fa] __TEXT,__const: SharedWebCredentialViewService
  [0xd4d4ca] __TEXT,__const: sharereportingd
  [0xd4d692] __TEXT,__const: SharingXPCHelper
  [0xd4d7f2] __TEXT,__const: shazameventsd
  [0xd4d882] __TEXT,__const: ShortcutsActions
  [0xd4d92a] __TEXT,__const: SidebarFileDispatcherService
  [0xd4d9f2] __TEXT,__const: SidecarRelay
  [0xd4da9a] __TEXT,__const: signpost_reporter
  [0xd4db62] __TEXT,__const: _com.apple.shortcuts.view-service
  [0xd4db8a] __TEXT,__const: acom.apple.shortcuts.ToolKitIndexer
  [0xd4dc3a] __TEXT,__const: SiriHeadlessService
  [0xd4dc52] __TEXT,__const: `com.apple.assistantd.odeon-remote
  [0xd4dce2] __TEXT,__const: siriinferenced
  [0xd4dcfa] __TEXT,__const: Zcom.apple.linkd.suggestions
  [0xd4dd2e] __TEXT,__const: asiri.SuggestionsBookkeepingService
  [0xd4dd55] __TEXT,__const: lSiriTasksEvaluation.SiriTasksEvaluationPlugin
  [0xd4de0a] __TEXT,__const: siriknowledged
  [0xd4de22] __TEXT,__const: `com.apple.linkd.vocabulary.static
  [0xd4dee2] __TEXT,__const: sirireaderd
  [0xd4dfa2] __TEXT,__const: SiriSuggestionsBookkeepingService
  [0xd4e062] __TEXT,__const: sirittsd
  [0xd4e0f2] __TEXT,__const: Ykern.sched_thread_bind_cpu
  [0xd4e132] __TEXT,__const: SiriTTSTrainingAgent
  [0xd4e1f2] __TEXT,__const: skateboardcompaniond
  [0xd4e33a] __TEXT,__const: smbclientd
  [0xd4e3ca] __TEXT,__const: smcDiagnose
  [0xd4e46a] __TEXT,__const: sociallayerd
  [0xd4e4fa] __TEXT,__const: softposreaderd
  [0xd4e512] __TEXT,__const: scom.apple.seserviced.storage-management-presentation
  [0xd4e5fa] __TEXT,__const: Zcom.apple.mobile.NRDUpdated
  [0xd4e622] __TEXT,__const: ^com.apple.MobileSoftwareUpdate.
  [0xd4e643] __TEXT,__const: QUpdateBrainService
  [0xd4e65a] __TEXT,__const: XCleanupPreparePathService
  [0xd4e70a] __TEXT,__const: softwareupdateservicesd
  [0xd4e72a] __TEXT,__const: Lbogus.foo.bar
  [0xd4e73c] __TEXT,__const: bcom.apple.sus.SUDaemonHelperService
  [0xd4e76a] __TEXT,__const: ]com.apple.Preferences.gsEvents
  [0xd4e792] __TEXT,__const: ccom.apple.sucore.SUCoreHelperService
  [0xd4e842] __TEXT,__const: SoftwareUpdateSubscriber
  [0xd4e862] __TEXT,__const: Zcom.apple.tvosupdate.server
  [0xd4e91a] __TEXT,__const: SoftwareUpdateUIService
  [0xd4e9f2] __TEXT,__const: Scom.apple.sos.status
  [0xd4ea92] __TEXT,__const: soundanalysisd
  [0xd4eb52] __TEXT,__const: spaceattributiond
  [0xd4eb6a] __TEXT,__const: Rcom.apple.subridged
  [0xd4ec32] __TEXT,__const: SpatialAudioProfileXPCService
  [0xd4eca2] __TEXT,__const: SpatialAudioXPCService
  [0xd4ed52] __TEXT,__const: speechmaintenanced
  [0xd4ed6a] __TEXT,__const: [com.apple.speechmaintenanced
