  [0x38cfa5] __TEXT,__cstring: component-index
  [0x3aa5a3] __TEXT,__cstring: IdleGated
  [0x3aa5ad] __TEXT,__cstring: StopCapture
  [0x3aa5b9] __TEXT,__cstring: PauseCapture
  [0x3aa5c6] __TEXT,__cstring: PauseCaptureGated
  [0x3aa5d8] __TEXT,__cstring: SensorTest
  [0x3aa5e3] __TEXT,__cstring: SensorTestGated
  [0x3aa5f3] __TEXT,__cstring: TriggerESDReset
  [0x3aa603] __TEXT,__cstring: TriggerSPIError
  [0x3aa613] __TEXT,__cstring: LoadPatch
  [0x3aa61d] __TEXT,__cstring: isOpen(inOwner)
  [0x3aa62d] __TEXT,__cstring: LoadPatchGated
  [0x3aa63c] __TEXT,__cstring: SetParameters
  [0x3aa64a] __TEXT,__cstring: SetParametersGated
  [0x3aa65d] __TEXT,__cstring: tryFillSetParamBuffer
  [0x3aa673] __TEXT,__cstring: commandBufSize >= 64
  [0x3aa688] __TEXT,__cstring: payloadSize <= (kParameterTerminatorOffset - kParameterTagOffset)
  [0x3aa6ca] __TEXT,__cstring: payloadSize <= (kParameterTerminatorOffset - kParameterCCM_B0Offset)
  [0x3aa70f] __TEXT,__cstring: ClearPatchOverride
  [0x3aa722] __TEXT,__cstring: ClearPatchOverrideGated
  [0x3aa73a] __TEXT,__cstring: Patch
  [0x3aa740] __TEXT,__cstring: PatchGated
  [0x3aa74b] __TEXT,__cstring: _fwLen > 0
  [0x3aa756] __TEXT,__cstring: buffer
  [0x3aa75d] __TEXT,__cstring: bytesRead == _fwLen
  [0x3aa771] __TEXT,__cstring: inPatch->complete() == 0
  [0x3aa78b] __TEXT,__cstring: GetSensorNonce
  [0x3aa79a] __TEXT,__cstring: GetSensorNonceGated
  [0x3aa7ae] __TEXT,__cstring: ProvisionSensor
  [0x3aa7be] __TEXT,__cstring: ProvisionSensorGated
  [0x3aa7d3] __TEXT,__cstring: ReprovisionSEPKey
  [0x3aa7e5] __TEXT,__cstring: ReprovisionSEPKeyGated
  [0x3aa7fc] __TEXT,__cstring: SessionKeyExchange
  [0x3aa80f] __TEXT,__cstring: SessionKeyExchangeGated
  [0x3aa827] __TEXT,__cstring: RePairingSessionKeyExchange
  [0x3aa843] __TEXT,__cstring: RePairingSessionKeyExchangeGated
  [0x3aa864] __TEXT,__cstring: InitializeSequenceCounter
  [0x3aa87e] __TEXT,__cstring: InitializeSequenceCounterGated
  [0x3aa89d] __TEXT,__cstring: Authenticate
  [0x3aa8aa] __TEXT,__cstring: SetEncryptedParameters
  [0x3aa8c1] __TEXT,__cstring: SetEncryptedParametersGated
  [0x3aa8dd] __TEXT,__cstring: _currentState == kIdle
  [0x3aa8f4] __TEXT,__cstring: GoToProductionMode
  [0x3aa907] __TEXT,__cstring: GoToProductionModeGated
  [0x3aa91f] __TEXT,__cstring: LockSensor
  [0x3aa92a] __TEXT,__cstring: LockSensorGated
  [0x3aa93a] __TEXT,__cstring: LockLowerHalfKey
  [0x3aa94b] __TEXT,__cstring: LockLowerHalfKeyGated
  [0x3aa961] __TEXT,__cstring: EncryptedLockLowerHalfKey
  [0x3aa97b] __TEXT,__cstring: EncryptedLockLowerHalfKeyGated
  [0x3aa99a] __TEXT,__cstring: LockUpperHalfKey
  [0x3aa9ab] __TEXT,__cstring: LockUpperHalfKeyGated
  [0x3aa9c1] __TEXT,__cstring: WriteUpperHalfKey
  [0x3aa9d3] __TEXT,__cstring: WriteUpperHalfKeyGated
  [0x3aa9ea] __TEXT,__cstring: EncryptedWriteUpperHalfKey
  [0x3aaa05] __TEXT,__cstring: EncryptedWriteUpperHalfKeyGated
  [0x3aaa25] __TEXT,__cstring: UnpairUpperHalfKey
  [0x3aaa38] __TEXT,__cstring: UnpairUpperHalfKeyGated
  [0x3aaa50] __TEXT,__cstring: CalibrateAndUpdateNVM
  [0x3aaa66] __TEXT,__cstring: CalibrateAndUpdateNVMGated
  [0x3aaa81] __TEXT,__cstring: StartBurnIn
  [0x3aaa8d] __TEXT,__cstring: StartBurnInGated
  [0x3aaa9e] __TEXT,__cstring: StopSSHBHB
  [0x3aaaa9] __TEXT,__cstring: StopSSHBHBGated
  [0x3aaab9] __TEXT,__cstring: DHKeyExchange
  [0x3aaac7] __TEXT,__cstring: DHKeyExchangeGated
  [0x3aaada] __TEXT,__cstring: ReprovisionSensor
  [0x3aaaec] __TEXT,__cstring: ReprovisionSensorGated
  [0x3aab03] __TEXT,__cstring: _checkImageCRC
  [0x3aab12] __TEXT,__cstring: dispatchCaptureReady
  [0x3aab27] __TEXT,__cstring: inCaptureMD
  [0x3aab33] __TEXT,__cstring: (length != 0) || (offset == 0)
  [0x3aab52] __TEXT,__cstring: captureBuf
  [0x3aab5d] __TEXT,__cstring: captureLen >= length + offset
  [0x3aab7b] __TEXT,__cstring: iterator
  [0x3aab84] __TEXT,__cstring: site.BiometricSensorCapture
  [0x3aaba2] __TEXT,__cstring: TransferData
  [0x3aabaf] __TEXT,__cstring: TransferDataGated
  [0x3aabc1] __TEXT,__cstring: createReporters
  [0x3aabd1] __TEXT,__cstring: _reporters
  [0x3aabdc] __TEXT,__cstring: IOReportLegendPublic
  [0x3aabf1] __TEXT,__cstring: IOReportLegend
  [0x3aac00] __TEXT,__cstring: waitFor
  [0x3aac08] __TEXT,__cstring: !getWorkLoop()->onThread()
  [0x3aac23] __TEXT,__cstring: Sleeping the WorkLoop's thread is heavily discouraged because it blocks all other EventSources
  [0x3aac82] __TEXT,__cstring: checkCRC16ANSI
  [0x3aac91] __TEXT,__cstring: bufferSize >= kResponseCRCSize
  [0x3aacb0] __TEXT,__cstring: Buffer smaller than CRC16 itself!
  [0x3aacd2] __TEXT,__cstring: dispatch-hid-events
  [0x3aace6] __TEXT,__cstring: mesa-dispatch-hid
  [0x3aacf8] __TEXT,__cstring: DeviceUsagePairs
  [0x3aad09] __TEXT,__cstring: Complete
  [0x3aad12] __TEXT,__cstring: AppleMesaARMFunction
  [0x3aad27] __TEXT,__cstring: site.AppleMesaARMFunction
  [0x3aad41] __TEXT,__cstring: 1211112
  [0x3aad49] __TEXT,__cstring: initWithTargetDataAndSymbol
  [0x3aad65] __TEXT,__cstring: _mesa
  [0x3aad6b] __TEXT,__cstring: callFunction
  [0x3aad78] __TEXT,__cstring: bounded_array_ref: Can't construct from a size greater than UINT32_MAX
  [0x3aadbf] __TEXT,__cstring: "%s" @%s:%d
  [0x3aadcb] __TEXT,__cstring: OSBoundedPtr.h
  [0x3aadda] __TEXT,__cstring: CoreAnalyticsHub
  [0x3aadeb] __TEXT,__cstring: operator()
  [0x3aadf6] __TEXT,__cstring: The range of valid memory is too large to be represented by this type, or [begin, end) is not a well-formed range
  [0x3aae68] __TEXT,__cstring: The offset of the pointer inside its valid memory range can't be represented using int32_t
  [0x3aaec3] __TEXT,__cstring: bounded_ptr<T>::operator+=(n): Adding the specified number of bytes to the offset representing the current position would overflow.
  [0x3aaf47] __TEXT,__cstring: bounded_ptr<T>::operator*: Dereferencing this pointer would access memory outside of the bounds set originally
  [0x3aafb6] __TEXT,__cstring: This bounded_ptr is pointing to memory outside of what can be represented by a native pointer.
  [0x3ab015] __TEXT,__cstring: bounded_array_ref: invalid slice provided, the indices are of bounds for the bounded_array_ref
  [0x3ab074] __TEXT,__cstring: AppleBiometricSensorEventSource
  [0x3ab094] __TEXT,__cstring: site.AppleBiometricSensorEventSource
  [0x3ab0b9] __TEXT,__cstring: 121112111211
  [0x3ab0c6] __TEXT,__cstring: Create
  [0x3ab0d2] __TEXT,__cstring: captureReady
  [0x3ab0df] __TEXT,__cstring: checkForWork
  [0x3ab0ec] __TEXT,__cstring: AppleBiometricSensorEmulatorBaseClass
  [0x3ab112] __TEXT,__cstring: site.AppleBiometricSensorEmulatorBaseClass
  [0x3ab13d] __TEXT,__cstring: 12111112122212121
  [0x3ab14f] __TEXT,__cstring: AppleSandDollar
  [0x3ab15f] __TEXT,__cstring: site.AppleSandDollar
  [0x3ab174] __TEXT,__cstring: 1211111212221212121111211221112122221122222222222222222222212222222222111111121222221211212111222222222222222211111112222222
  [0x3ab1f1] __TEXT,__cstring: sanddollar-converter
  [0x3ab206] __TEXT,__cstring: size >= sensorDataMessage
  [0x3ab220] __TEXT,__cstring: /Library/Caches/com.apple.xbs/6A7C35E3-3A97-416A-B3BB-4DBAB9472350/TemporaryDirectory.xxYcBI/Sources/AppleBiometricSensor/AppleSandDollar.cpp
  [0x3ab2ae] __TEXT,__cstring: commandBufSize >= localCommandBuf.size()
  [0x3ab2d7] __TEXT,__cstring: boundedPayload.size() <= tagsSize
  [0x3ab2f9] __TEXT,__cstring: boundedPayload.size() <= (kParameterCCM_B0Size + kParameterMACSize + tagsSize)
  [0x3ab348] __TEXT,__cstring: boundedPayload.size() <= parameterDataSize
  [0x3ab373] __TEXT,__cstring: _handleSensorSpecificCMD
  [0x3ab38c] __TEXT,__cstring: _handleSensorSpecificResponse
  [0x3ab3aa] __TEXT,__cstring: crcOK
  [0x3ab3b0] __TEXT,__cstring: EncryptedGetModuleSerialNumber
  [0x3ab3cf] __TEXT,__cstring: outSerialNumberBufLen
  [0x3ab3e5] __TEXT,__cstring: EncryptedGetModuleSerialNumberGated
  [0x3ab409] __TEXT,__cstring: EncryptedFactoryClear
  [0x3ab41f] __TEXT,__cstring: EncryptedFactoryClearGated
  [0x3ab43a] __TEXT,__cstring: EncryptedModifyTheDevGid
  [0x3ab453] __TEXT,__cstring: EncryptedModifyTheDevGidGated
  [0x3ab471] __TEXT,__cstring: GoToProductionModeWithParameters
  [0x3ab492] __TEXT,__cstring: GoToProductionModeWithParametersGated
  [0x3ab4b8] __TEXT,__cstring: SendEncryptedCommand
  [0x3ab4cd] __TEXT,__cstring: SendEncryptedCommandGated
  [0x3ab4e7] __TEXT,__cstring: AppleBiometricSensor
  [0x3ab4fc] __TEXT,__cstring: site.AppleBiometricSensor
  [0x3ab516] __TEXT,__cstring: 121111121222121212
  [0x3ab529] __TEXT,__cstring: bufferToString
  [0x3ab538] __TEXT,__cstring: /Library/Caches/com.apple.xbs/6A7C35E3-3A97-416A-B3BB-4DBAB9472350/TemporaryDirectory.xxYcBI/Sources/AppleBiometricSensor/ABSLogging.c
  [0x3ab5bf] __TEXT,__cstring: bufferSize
  [0x3ab5ca] __TEXT,__cstring: string
  [0x3ab5d1] __TEXT,__cstring: stringSize
  [0x3ab5dc] __TEXT,__cstring: %02x
  [0x3ab5e2] __TEXT,__os_log: %s: AppleSPIBiometricSensor::start
  [0x3ab605] __TEXT,__os_log: %s: Failed to acquire workLoop!
  [0x3ab625] __TEXT,__os_log: %s: Failed to create command gate!
  [0x3ab648] __TEXT,__os_log: %s: Failed to create interrupt event source!
  [0x3ab675] __TEXT,__os_log: %s: AppleSPIBiometricSensor::start returning succesfully
  [0x3ab6ae] __TEXT,__os_log: %s: AppleSPIBiometricSensor::free
  [0x3ab6d0] __TEXT,__os_log: %s: AppleSPIBiometricSensor::_interruptAction
  [0x3ab6fe] __TEXT,__os_log: %s: AppleSPIBiometricSensor::_interruptAction - interrupt suppressed due to sensorEmulation
  [0x3ab75a] __TEXT,__os_log: %s: AppleSPIBiometricSensor::_interruptAction -- error from handleInterrupt (%s)
  [0x3ab7ab] __TEXT,__os_log: %s: AppleSPIBiometricSensor::enableInterrupts(%s)
  [0x3ab7dd] __TEXT,__os_log: %s: AppleSPIBiometricSensor::enableInterrupts ABSEReplay - disable interrupts
  [0x3ab82b] __TEXT,__os_log: %s: AppleSPIBiometricSensor::enableInterrupts %s
  [0x3ab85c] __TEXT,__os_log: %s: AppleSPIBiometricSensor::enableInterrupts exit
  [0x3ab88f] __TEXT,__os_log: %s: AppleSPIBiometricSensor::_setPropertiesGated
  [0x3ab8c0] __TEXT,__os_log: %s: AssertMacros: %s (value = 0x%lx), %s file: %s, line: %d
  [0x3ab8fc] __TEXT,__os_log: %s: txBuffer.length()=%zu rxBuffer.length()=%zu
  [0x3aba94] __TEXT,__os_log: Wrote: %5zuB | %s
  [0x3abaa7] __TEXT,__os_log: Read: %5zuB | %s
  [0x3abc5e] __TEXT,__os_log: %s: entry
  [0x3abce0] __TEXT,__os_log: %s: Changing state from %u to %u
  [0x3abd01] __TEXT,__os_log: %s: Target state same as current state: %u
  [0x3abd2c] __TEXT,__os_log: %s: Changing power state from %llu to %llu
  [0x3abd57] __TEXT,__os_log: %s: Target power state ID same as current power state ID: %llu
  [0x3abd96] __TEXT,__os_log: %s: exit
  [0x3abddb] __TEXT,__os_log: %s: mask=0x%X, bad=%s
  [0x3abeeb] __TEXT,__os_log: %s: Found Navajo
  [0x3ac1e0] __TEXT,__os_log: %s: sensor sanity checking failed on start, power cycle
  [0x3ac218] __TEXT,__os_log: %s: disabling the sensor
  [0x3ac2a9] __TEXT,__os_log: %s: unexpected sensor type 0x%x (expected: 0x%x) - disabling the sensor
  [0x3ac369] __TEXT,__os_log: %s: TestCMD timeout -> Interrupt line broken
  [0x3ac396] __TEXT,__os_log: %s: RestoreOS, not waiting for AOP.
  [0x3ac3ba] __TEXT,__os_log: %s: Looking for AOP driver...
  [0x3ac4c8] __TEXT,__os_log: %s: exit, success=%d
  [0x3ae5ad] __TEXT,__os_log: %s: Current: 3v0=%d/%dmA, 1v8=%d/%dmA, Pwr=%d/%dmW, Avg: 3v0=%d/%d,%d/%d,%d/%dmA, 1v8=%d/%d,%d/%d,%d/%dmA, Pwr=%d/%dmW, Limit: %d, %d, %d
  [0x3ae637] __TEXT,__os_log: %s: Exceeded Current High Samples 3v0: %d, %d, %d, %d, %d,  High Samples 1v8: %d, %d, %d, %d, %d
  [0x3ae74c] __TEXT,__os_log: %s: called with eventsources still enabled
  [0x3ae777] __TEXT,__os_log: %s: entry: forClient=%p
  [0x3ae7cb] __TEXT,__os_log: %s: exit, result=0x%x, ret=%s
  [0x3ae7e9] __TEXT,__os_log: %s: entry: forClient=%p, isOpen()=%x
  [0x3ae84a] __TEXT,__os_log: %s: exit, ret=%d
  [0x3ae8e3] __TEXT,__os_log: %s: exit, err=0x%x
  [0x3ae900] __TEXT,__os_log: %s: AOP is going to sleep
  [0x3ae973] __TEXT,__os_log: %s: AOP woke up
  [0x3ae9ef] __TEXT,__os_log: %s: useCaptureType= %u
  [0x3aea06] __TEXT,__os_log: %s: X162Bypass= %u
  [0x3aeaae] __TEXT,__os_log: %s: SPI frequency overridden to %d in device tree
  [0x3aeba7] __TEXT,__os_log: %s: entry: sender=%p
  [0x3aebbc] __TEXT,__os_log: %s: Sensor has been disabled due to high current.
  [0x3aebee] __TEXT,__os_log: %s: Sensor has been disabled due to user requirement.
  [0x3aec24] __TEXT,__os_log: %s: Command DHKeyExchange is in progress, skipping ESDRecovery.
  [0x3aecb3] __TEXT,__os_log: %s:  - emulator interrupt
  [0x3aeccd] __TEXT,__os_log: %s:  - unknown provider: %p
  [0x3aecea] __TEXT,__os_log: %s: Type: 0x%x
  [0x3aecf9] __TEXT,__os_log: %s: Initiate attach to AppleBiometricSensorEmulator
  [0x3aed2d] __TEXT,__os_log: %s: Initiate detach from AppleBiometricSensorEmulator
  [0x3aed63] __TEXT,__os_log: %s: Not defined message
  [0x3aed7b] __TEXT,__os_log: %s: Unknown provider: %p
  [0x3aed94] __TEXT,__os_log: %s: Emulator interrupt
  [0x3aedb5] __TEXT,__os_log: %s: service match failed for %s
  [0x3aedd5] __TEXT,__os_log: %s: dynamic cast failed for %s
  [0x3aedf4] __TEXT,__os_log: %s: service matched
  [0x3aee08] __TEXT,__os_log: %s: interrupts not created
  [0x3aee36] __TEXT,__os_log: %s: hibernateState: %d
  [0x3aee4d] __TEXT,__os_log: %s: powerControlType: %d wakeOnMenuPin: %d
  [0x3aeeb4] __TEXT,__os_log: %s: continue
  [0x3aefef] __TEXT,__os_log: %s: Wake from hibernation
  [0x3af045] __TEXT,__os_log: %s: bad sensor status in wakeup path
  [0x3af06a] __TEXT,__os_log: %s: interrupt on Mesa wakeup
  [0x3af156] __TEXT,__os_log: %s: Sensor has been disabled due to high current
  [0x3af187] __TEXT,__os_log: %s: Sensor has been disabled due to user requirement
  [0x3af1f8] __TEXT,__os_log: %s: Trying to recover from abnormal state
  [0x3af25e] __TEXT,__os_log: %s: MesaSEP denied request for recovery due to: %s
  [0x3af291] __TEXT,__os_log: %s: Arming a watchdog that will try to recover the sensor. Current attempt: %u
  [0x3af2e0] __TEXT,__os_log: %s: Request for recovery was succesfully accepted; MesaSEP will soon initiate recovery
  [0x3af386] __TEXT,__os_log: %s: entry, result=%d
  [0x3af902] __TEXT,__os_log: %s: entry: fwBuffer=%p, fwLen=%llu
  [0x3af9d9] __TEXT,__os_log: %s: sent patch to sensor
  [0x3afa4b] __TEXT,__os_log: %s: Error from SPI transfer (%s)
  [0x3afa6c] __TEXT,__os_log: %s: Status={%#02x, %#02x, %#02x, %#02x, %#02x, %#02x, %#02x, %#02x, %#02x, %#02x, %#02x, %#02x, %#02x, %#02x, %#02x, %#02x}
  [0x3afae8] __TEXT,__os_log: %s: Sent message of %llu bytes
  [0x3afb60] __TEXT,__os_log: %s: Bad sensor status or fetching status failed, retrying...
  [0x3afc32] __TEXT,__os_log: %s: Put sensor in Read Data mode
  [0x3afd1a] __TEXT,__os_log: %s: entry: result=0x%x, refcon=%p
  [0x3afd3c] __TEXT,__os_log: %s: exit, waking=%p, done=%d
  [0x3afd59] __TEXT,__os_log: %s: entry: pContext(done)=%p
  [0x3afd76] __TEXT,__os_log: %s: TIMEOUT!!!
  [0x3afd85] __TEXT,__os_log: %s: INTERRUPTED!!!
  [0x3afd98] __TEXT,__os_log: %s: pHandleCMDSyncContext->done=%s
  [0x3afdbb] __TEXT,__os_log: %s: exit, pContext=%p, err=0x%x
  [0x3afddb] __TEXT,__os_log: %s: entry: cmd=0x%x, param0=%p, param1=%p, param2=%p
  [0x3afec4] __TEXT,__os_log: %s: context=%p, cmd=0x%x: continue
  [0x3aff9b] __TEXT,__os_log: %s: Dropping command 0x%x
  [0x3afff1] __TEXT,__os_log: %s: done
  [0x3afffa] __TEXT,__os_log: %s: exit, context=%p, cmd=0x%x, err=0x%x
  [0x3b00a5] __TEXT,__os_log: %s: InitializeSequenceCounter invalid size
  [0x3b00d0] __TEXT,__os_log: %s: InitializeSequenceCounter CMD
  [0x3b014b] __TEXT,__os_log: %s: ProvisionSensor invalid root key size
  [0x3b01e6] __TEXT,__os_log: %s: entry: context=%p, command->_cmd=0x%x, _lastCmd=0x%x, _currentState=%d
  [0x3b0231] __TEXT,__os_log: %s: ignore command in bypass mode
  [0x3b0253] __TEXT,__os_log: %s: handle command in imaging mode
  [0x3b0276] __TEXT,__os_log: %s: Power cycle the sensor
  [0x3b0291] __TEXT,__os_log: %s: (Short) Reset the sensor
  [0x3b02ae] __TEXT,__os_log: %s: (Long) Reset the sensor
  [0x3b02ca] __TEXT,__os_log: %s: Get Serial Number
  [0x3b02f6] __TEXT,__os_log: %s: ECHO CMD
  [0x3b0303] __TEXT,__os_log: %s: Idle the sensor
  [0x3b0317] __TEXT,__os_log: %s: AppleMesa::handleCMD -- kCMDSetEncryptedParameters buffer too large.
  [0x3b03d8] __TEXT,__os_log: %s: Setup skip finger
  [0x3b042a] __TEXT,__os_log: %s: Sleep the sensor
  [0x3b043f] __TEXT,__os_log: %s: Put the sensor in Paused mode
  [0x3b0461] __TEXT,__os_log: %s: kCMDPauseCapture failed. Sensor not in caputre state. _currentState=%x
  [0x3b04ac] __TEXT,__os_log: %s: Put Sensor in %sCapture mode
  [0x3b04cd] __TEXT,__os_log: %s: capture watchdog timer enabled
  [0x3b04f0] __TEXT,__os_log: %s: Sensor in already in capture state.
  [0x3b0518] __TEXT,__os_log: %s: Sensor already in capture mode, ignore
  [0x3b0543] __TEXT,__os_log: %s: kCMDStartCapture failed. Not in kSensorIdle or kCapturePaused state. _currentState=%x
  [0x3b059d] __TEXT,__os_log: %s: Setup the Host INT threshold
  [0x3b05fa] __TEXT,__os_log: %s: HostIntDepth specified size too large: %u
  [0x3b0628] __TEXT,__os_log: %s: Setup Patch Enable on the sensor
  [0x3b064d] __TEXT,__os_log: %s: GoToProduction CMD
  [0x3b0664] __TEXT,__os_log: %s: (RePairing)SessionKeyExchange invalid session key size
  [0x3b069f] __TEXT,__os_log: %s: (RePairing)SessionKeyExchange CMD
  [0x3b06c5] __TEXT,__os_log: %s: LockSensor CMD
  [0x3b06d8] __TEXT,__os_log: %s: LockLowerHalfKey CMD
  [0x3b06f1] __TEXT,__os_log: %s: EncryptedLockLowerHalfKey invalid buffer size
  [0x3b0723] __TEXT,__os_log: %s: EncryptedLockLowerHalfKey CMD
  [0x3b0781] __TEXT,__os_log: %s: WriteUpperHalfKey invalid key size
  [0x3b07a8] __TEXT,__os_log: %s: WriteUpperHalfKey CMD
  [0x3b07c2] __TEXT,__os_log: %s: EncryptedWriteUpperHalfKey invalid key size
  [0x3b07f2] __TEXT,__os_log: %s: EncryptedWriteUpperHalfKey CMD
  [0x3b0851] __TEXT,__os_log: %s: LockUpperHalfKey CMD
  [0x3b086a] __TEXT,__os_log: %s: UnpairUpperHalfKey CMD
  [0x3b0885] __TEXT,__os_log: %s: CalibrateAndUpdateNVM invalid key size
  [0x3b08b0] __TEXT,__os_log: %s: CalibrateAndUpdateNVM CMD
  [0x3b090a] __TEXT,__os_log: %s: Put Sensor in Finger detect mode
  [0x3b092f] __TEXT,__os_log: %s: Finger detect watchdog timer enabled
  [0x3b0958] __TEXT,__os_log: %s: Sensor already in finger detect mode, ignore
  [0x3b0989] __TEXT,__os_log: %s: kCMDStartFingerDetect failed. Not in kSensorIdle. _currentState=%x
  [0x3b09d0] __TEXT,__os_log: %s: Put Sensor in Burn In mode
  [0x3b0a67] __TEXT,__os_log: %s: kCMDStartBurnIn failed. Sensor status=0x%x
  [0x3b0a96] __TEXT,__os_log: %s: kCMDStartBurnIn finished succesfully
  [0x3b0abf] __TEXT,__os_log: %s: kCMDBurnIn failed. Not in kSensorIdle. _currentState=0x%x
  [0x3b0b75] __TEXT,__os_log: %s: kCMDStopSSHBHB failed. Sensor status=0x%x
  [0x3b0ba3] __TEXT,__os_log: %s: kCMDStopSSHBHB finished succesfully
  [0x3b0bcb] __TEXT,__os_log: %s: kCMDStopSSHBHB failed. Not in kSensorIdle. _currentState=0x%x
  [0x3b0c20] __TEXT,__os_log: %s: RECOVERY: Reason %d, Last command 0x%x
  [0x3b0c4b] __TEXT,__os_log: %s: Stats:
  [0x3b0c56] __TEXT,__os_log: %s: %2ld: %3u
  [0x3b0c6e] __TEXT,__os_log: %s: capture watchdog timer disabled
  [0x3b0c92] __TEXT,__os_log: %s: Hitting capture watchdog in capture finger on
  [0x3b0cc4] __TEXT,__os_log: %s: bad sensor status in capture watchdog, trying to reset
  [0x3b0cff] __TEXT,__os_log: %s: capture watchdog hits an interrupt
  [0x3b0d26] __TEXT,__os_log: %s: time out waiting for interrupt in finger on, try to reset
  [0x3b0e94] __TEXT,__os_log: %s: entry: result=0x%x
  [0x3b0f23] __TEXT,__os_log: %s: SSHB watchdog recovery was successful!
  [0x3b0f4e] __TEXT,__os_log: %s: SSHB watchdog recovery failed to finish. Making a new attempt!
  [0x3b0f91] __TEXT,__os_log: %s: A new recovery request should be fired in approximately %ums.
  [0x3b0fdc] __TEXT,__os_log: %s: entry: state=%d
  [0x3b0ff0] __TEXT,__os_log: %s: Corrupted sensor status
  [0x3b100c] __TEXT,__os_log: %s: Spurious interrupt
  [0x3b1099] __TEXT,__os_log: %s: entry: context=%p, _cmd=0x%x, status=0x%x
  [0x3b10da] __TEXT,__os_log: %s: entry: _currentState=%d, _cmd=0x%x
  [0x3b1101] __TEXT,__os_log: %s: Idle the sensor in imaging
  [0x3b1120] __TEXT,__os_log: %s: Sleep the sensor in imaging
  [0x3b1140] __TEXT,__os_log: %s: Put the sensor in Paused mode during imaging
  [0x3b1171] __TEXT,__os_log: %s: unsupported pending command in imagiing mode %d
  [0x3b11b8] __TEXT,__os_log: %s: entry: _lastCmd=0x%x, _currentState=%d
  [0x3b11e3] __TEXT,__os_log: %s: Invalid data size for data available: %u
  [0x3b1210] __TEXT,__os_log: %s: Not enough data to read in capture mode(%u)
  [0x3b1240] __TEXT,__os_log: %s: Deferred idle command sent. Dropping image
  [0x3b12e7] __TEXT,__os_log: %s: Reset complete
  [0x3b12fd] __TEXT,__os_log: sensor is up!
  [0x3b130c] __TEXT,__os_log: %s: A reset was sent but the chip doesn't think it was reset.. Something is wrong..
  [0x3b1360] __TEXT,__os_log: %s: kCMDGetSerialNum received an error response..
  [0x3b1392] __TEXT,__os_log: %s: kCMDGetSerialNum received unexpected length = %zu
  [0x3b13c8] __TEXT,__os_log: %s: kCMDGetModuleSerialNum: CRC - %s
  [0x3b13ed] __TEXT,__os_log: %s: kCMDGetModuleSerialNum: data buffer has unexpected length = %zu
  [0x3b1431] __TEXT,__os_log: %s: Echo Message Response
  [0x3b144b] __TEXT,__os_log: %s: %zu bytes read
  [0x3b145e] __TEXT,__os_log: %s: IDLE CMD response
  [0x3b1474] __TEXT,__os_log: %s: IDLE CMD Successful
  [0x3b148c] __TEXT,__os_log: %s: IDLE did not take effect yet. Wait to see if it was just a pending interrupt
  [0x3b14dd] __TEXT,__os_log: %s: TEST CMD response
  [0x3b14f3] __TEXT,__os_log: %s: (kCMDSetEncryptedParameters) Set Parameter was successful
  [0x3b1531] __TEXT,__os_log: %s: (kCMDSetEncryptedParameters) Set Parameter failed with err = %#x
  [0x3b1576] __TEXT,__os_log: %s: (kCMDSetImageBitDepth ) Set Parameter was successful
  [0x3b15af] __TEXT,__os_log: %s: (kSetImageBitDepthSent ) Set Parameter failed with err = %#x
  [0x3b15f0] __TEXT,__os_log: %s: Sensor in unknown state, reset and try again = %x
  [0x3b1626] __TEXT,__os_log: %s: (kCMDSkipFingerDetect) Set Parameter was successful
  [0x3b165e] __TEXT,__os_log: %s: (kCMDSkipFingerDetect) Set Parameter failed with err = %#x
  [0x3b169d] __TEXT,__os_log: %s: kCMDSetupPatchEnable was sent but the chip is not in IDLE state. Something is wrong..
  [0x3b16f7] __TEXT,__os_log: %s: _patch=%p
  [0x3b1705] __TEXT,__os_log: %s: ERROR _patch=%p
  [0x3b1719] __TEXT,__os_log: %s: HostIntDepth Set
  [0x3b172e] __TEXT,__os_log: %s: (kCMDHostIntDepth) Set Parameter was successful
  [0x3b1762] __TEXT,__os_log: %s: HostIntDepth setting failed with err = %#x
  [0x3b1791] __TEXT,__os_log: %s: GoToProductionMode response
  [0x3b17b1] __TEXT,__os_log: %s: status 0x%x, sensor status 0x%x
  [0x3b17d5] __TEXT,__os_log: %s: GoToProductionMode command failed with err = %#x
  [0x3b180a] __TEXT,__os_log: %s: patch load done interrupt
  [0x3b1828] __TEXT,__os_log: %s: loaded patch vers=%d
  [0x3b1841] __TEXT,__os_log: %s: patch load failed. Something is wrong..
  [0x3b186d] __TEXT,__os_log: %s: Provision response
  [0x3b1884] __TEXT,__os_log: %s: Provision ResponseCode: 0x%x
  [0x3b18a5] __TEXT,__os_log: %s: Provision SecurityAssurance: 0x%x
  [0x3b18cb] __TEXT,__os_log: %s: Provision: CRC check failed
  [0x3b18eb] __TEXT,__os_log: %s: Provision: Invalid response size
  [0x3b1910] __TEXT,__os_log: %s: (RePairing)SessionKeyExchange response
  [0x3b193b] __TEXT,__os_log: %s: provision status 0x%x, sensor status 0x%x
  [0x3b1969] __TEXT,__os_log: %s: k(RePairing)SessionKeyExchangeSent received an error response..
  [0x3b19ad] __TEXT,__os_log: %s: (RePairing)SessionKeyExchange SecurityAssurance: 0x%x
  [0x3b19e7] __TEXT,__os_log: %s: k(RePairing)SessionKeyExchangeSent called without a valid key..
